week_num,day_num,exercise,reps,prescribed_weight_kg,session_type,num_sets,prescription
5,2,bench,5,110.0,training,1,1 x 5 @ 110.0 kg
5,2,squat,2,142.5,training,3,3 x 2 @ 142.5 kg
5,2,squat,3,133.75,training,3,3 x 3 @ 133.75 kg
5,2,squat,5,123.75,training,1,1 x 5 @ 123.75 kg
6,1,bench,5,110.0,training,1,1 x 5 @ 110.0 kg
6,1,bench,8,102.5,training,2,2 x 8 @ 102.5 kg
6,1,deadlift,2,170.0,training,1,1 x 2 @ 170.0 kg
6,1,deadlift,3,160.0,training,1,1 x 3 @ 160.0 kg
6,1,deadlift,3,170.0,training,1,1 x 3 @ 170.0 kg
6,1,deadlift,3,182.5,training,1,1 x 3 @ 182.5 kg
6,1,squat,2,142.5,training,2,2 x 2 @ 142.5 kg
6,1,squat,3,136.25,training,2,2 x 3 @ 136.25 kg
6,2,bench,2,122.5,training,1,1 x 2 @ 122.5 kg
6,2,bench,5,110.0,training,1,1 x 5 @ 110.0 kg
6,2,bench,7,102.5,training,1,1 x 7 @ 102.5 kg
6,2,squat,2,140.0,training,1,1 x 2 @ 140.0 kg
6,2,squat,3,135.0,training,1,1 x 3 @ 135.0 kg
6,2,squat,6,147.5,training,1,1 x 6 @ 147.5 kg
7,1,deadlift,4,170.0,training,1,1 x 4 @ 170.0 kg
7,1,deadlift,5,160.0,training,2,2 x 5 @ 160.0 kg
7,1,squat,2,140.0,deload,1,1 x 2 @ 140.0 kg
7,1,squat,3,132.5,deload,1,1 x 3 @ 132.5 kg
7,2,squat,1,147.5,deload,1,1 x 1 @ 147.5 kg
7,2,squat,1,150.0,deload,1,1 x 1 @ 150.0 kg
7,2,squat,2,140.0,deload,1,1 x 2 @ 140.0 kg
8,1,deadlift,3,180.0,training,1,1 x 3 @ 180.0 kg
8,1,deadlift,5,170.0,training,2,2 x 5 @ 170.0 kg
8,1,squat,1,120.0,test,1,1 x 1 @ 120.0 kg
8,1,squat,1,140.0,test,1,1 x 1 @ 140.0 kg
8,1,squat,1,155.0,test,1,1 x 1 @ 155.0 kg
8,1,squat,1,162.5,test,1,1 x 1 @ 162.5 kg
8,1,squat,3,100.0,test,1,1 x 3 @ 100.0 kg
8,1,squat,3,155.0,test,1,1 x 3 @ 155.0 kg
8,1,squat,6,70.0,test,1,1 x 6 @ 70.0 kg
8,1,squat,10,20.0,test,1,1 x 10 @ 20.0 kg
9,1,deadlift,3,160.0,training,1,1 x 3 @ 160.0 kg
9,1,deadlift,3,180.0,training,2,2 x 3 @ 180.0 kg
10,1,deadlift,1,190.0,training,1,1 x 1 @ 190.0 kg
10,1,deadlift,1,202.5,training,1,1 x 1 @ 202.5 kg
10,1,deadlift,3,172.5,training,2,2 x 3 @ 172.5 kg
11,1,deadlift,3,180.0,training,2,2 x 3 @ 180.0 kg
12,1,deadlift,2,190.0,training,2,2 x 2 @ 190.0 kg
12,1,deadlift,4,170.0,training,1,1 x 4 @ 170.0 kg
