date,week_num,day_num,exercise,set_id,reps,weight_kg,session_type,pre_block_max_kg
2026-05-23,5,1,squat,7,2,142.8,training,155
2026-05-28,6,1,squat,1,3,136.0,training,155
2026-05-28,6,1,squat,2,3,136.0,training,155
2026-05-28,6,1,squat,3,2,142.8,training,155
2026-05-28,6,1,squat,4,2,142.8,training,155
2026-06-01,7,1,squat,1,3,135.0,training,155
2026-06-01,7,1,squat,2,2,140.0,training,155
2026-06-01,7,1,squat,3,6,147.0,training,155
2026-06-04,7,2,squat,1,3,132.0,deload,155
2026-06-04,7,2,squat,2,2,140.0,deload,155
2026-06-08,8,1,squat,1,2,140.0,deload,155
2026-06-08,8,1,squat,2,1,148.0,deload,155
2026-06-08,8,1,squat,3,1,150.0,deload,155
2026-06-11,8,2,squat,1,10,20.0,test,155
2026-06-11,8,2,squat,2,6,70.0,test,155
2026-06-11,8,2,squat,3,3,100.0,test,155
2026-06-11,8,2,squat,4,1,120.0,test,155
2026-06-11,8,2,squat,5,1,140.0,test,155
2026-06-11,8,2,squat,6,1,155.0,test,155
2026-06-11,8,2,squat,7,1,163.0,test,155
2026-06-11,8,2,squat,8,3,155.0,test,155
2026-06-03,1,1,bench,1,6,102.5,training,120
2026-06-03,1,1,bench,2,5,102.5,training,120
2026-06-03,1,1,bench,3,4,102.5,training,120
2026-06-06,1,2,bench,1,6,105.0,training,120
2026-06-06,1,2,bench,2,4,105.0,training,120
2026-06-06,1,2,bench,3,4,102.5,training,120
2026-06-10,2,1,bench,1,4,110.0,training,120
2026-06-10,2,1,bench,2,4,107.5,training,120
2026-06-10,2,1,bench,3,5,102.5,training,120
2026-06-13,2,2,bench,1,7,102.5,training,120
2026-06-13,2,2,bench,2,5,102.5,training,120
2026-06-13,2,2,bench,3,4,102.5,training,120
2026-06-20,3,1,bench,1,4,110.0,training,120
2026-06-20,3,1,bench,2,6,105.0,training,120
2026-06-20,3,1,bench,3,5,102.5,training,120
2026-06-24,4,1,bench,1,8,102.5,training,120
2026-06-27,4,2,bench,1,4,112.5,training,120
2026-06-27,4,2,bench,2,4,110.0,training,120
2026-06-27,4,2,bench,3,6,105.0,training,120
2026-07-01,5,1,bench,1,5,107.5,training,120
2026-07-01,5,1,bench,2,6,102.5,training,120
2026-07-05,5,2,bench,1,3,115.0,training,120
2026-07-05,5,2,bench,2,4,110.0,training,120
2026-07-05,5,2,bench,3,6,105.0,training,120
2026-07-08,6,1,bench,1,2,120.0,training,120
2026-07-08,6,1,bench,2,5,110.0,training,120
2026-07-11,6,2,bench,1,5,110.0,training,120
2026-07-11,6,2,bench,2,8,102.5,training,120
2026-07-11,6,2,bench,3,8,102.5,training,120
2026-07-15,7,1,bench,1,2,122.5,training,120
2026-07-15,7,1,bench,2,5,110.0,training,120
2026-07-15,7,1,bench,3,7,102.5,training,120
2026-04-05,1,1,deadlift,1,3,142.5,training,160
2026-04-05,1,1,deadlift,2,3,135.0,training,160
2026-04-05,1,1,deadlift,3,3,135.0,training,160
2026-04-05,1,1,deadlift,4,3,135.0,training,160
2026-04-11,1,2,deadlift,1,3,152.5,training,160
2026-04-11,1,2,deadlift,2,3,135.0,training,160
2026-04-11,1,2,deadlift,3,3,137.5,training,160
2026-04-11,1,2,deadlift,4,3,137.5,training,160
2026-04-11,1,2,deadlift,5,3,137.5,training,160
2026-04-18,2,1,deadlift,1,3,162.5,training,160
2026-04-18,2,1,deadlift,2,5,142.5,training,160
2026-04-18,2,1,deadlift,3,5,142.5,training,160
2026-04-18,2,1,deadlift,4,5,142.5,training,160
2026-04-25,3,1,deadlift,1,3,170.0,training,160
2026-04-25,3,1,deadlift,2,5,150.0,training,160
2026-04-25,3,1,deadlift,3,4,155.0,training,160
2026-04-25,3,1,deadlift,4,5,150.0,training,160
2026-05-02,4,1,deadlift,1,3,177.5,training,160
2026-05-02,4,1,deadlift,2,3,160.0,training,160
2026-05-02,4,1,deadlift,3,5,160.0,training,160
2026-05-02,4,1,deadlift,4,5,160.0,training,160
2026-05-09,5,1,deadlift,1,3,182.5,training,160
2026-05-09,5,1,deadlift,2,2,170.0,training,160
2026-05-09,5,1,deadlift,3,3,170.0,training,160
2026-05-09,5,1,deadlift,4,3,160.0,training,160
2026-06-23,6,1,deadlift,1,5,160.0,training,160
2026-06-23,6,1,deadlift,2,5,160.0,training,160
2026-06-23,6,1,deadlift,3,4,170.0,training,160
2026-06-30,7,1,deadlift,1,5,170.0,training,160
2026-06-30,7,1,deadlift,2,5,170.0,training,160
2026-06-30,7,1,deadlift,3,3,180.0,training,160
2026-07-03,7,2,deadlift,1,3,180.0,training,160
2026-07-03,7,2,deadlift,2,3,180.0,training,160
2026-07-03,7,2,deadlift,3,3,160.0,training,160
2026-07-07,8,1,deadlift,1,1,190.0,training,160
2026-07-07,8,1,deadlift,2,1,202.5,training,160
2026-07-07,8,1,deadlift,3,3,172.5,training,160
2026-07-07,8,1,deadlift,4,3,172.5,training,160
2026-07-14,9,1,deadlift,1,3,180.0,training,160
2026-07-14,9,1,deadlift,2,3,180.0,training,160
2026-07-21,10,1,deadlift,1,2,190.0,training,160
2026-07-21,10,1,deadlift,2,2,190.0,training,160
2026-07-21,10,1,deadlift,3,4,170.0,training,160
